Route,Name,Grade,FA,Country,Area,Date,Suggested Grade,Link,
psychopad rallongé,Kintana Iltis,13,,Reunion,Ravine des colimaçons,08/18/2020,13,,
Circle Jerk,Isabelle Faus,13,,United States,Camp Dick,09/19/2020,13,,
Get Laid,Isabelle Faus,13,FA,United States,scoop,09/19/2020,13,,
Glitter Addict,Isabelle Faus,13,FA,United States,Pinecliffe Boulders,09/19/2020,13,,
Wrestling with an alligator,Mia Krampl,13,,Austria,Villach,09/30/2020,13,,
Firestorm,Allison Vest,13,,United States,Ogden,11/01/2020,13,,
Riverbed,Tiba Vroom,13,,Switzerland,Magic Wood,11/20/2020,13,https://www.youtube.com/watch?v=LGmXfogOiNU,
"Swarm, The",Katie Lamb,13,,United States,Bishop,12/24/2020,13,,
Nihilist low,Karoline Sinnhuber,13,,Austria,Innsbruck,03/01/2021,13,,
"Swarm, The",Alex Johnson,13,,United States,Bishop,04/03/2021,13,,
Temná hmota,Lucie Hrozová,13,,Czech Republic,Snezník,04/09/2021,13,,
Keen Roof,Molly Thompson-Smith,13,,United Kingdom,Peak District,04/22/2021,13,,
Conquistador,Lucie Hrozová,13,,Czech Republic,Sklapsko,04/25/2021,13,,
Chinese Connection,Katie Lamb,13,,United States,Mortar Rock,05/01/2021,13,,
Euro Roof Low Low,Natalia Grossman,13,,United States,Little Cottonwood Canyon,05/04/2021,13,,
Eliksir molodosty natoshak,Irina Kuzmenko,13,,Russia,Triangular lake,05/09/2021,13,,
Chinese Connection,Analise Van Hoang,13,,United States,Mortar Rock,05/14/2021,13,,
Euro Roof Low Low,Brooke Raboutou,13,,United States,Little Cottonwood Canyon,05/24/2021,13,,
Ayran,Irina Kuzmenko,13,,Russia,Djan-tugan,05/26/2021,13,,
Euro Roof Low Low,Molly Thompson-Smith,13,,United States,Little Cottonwood Canyon,05/27/2021,13,,
"Arch, The",Staša Gejo,13,,South Africa,Rocklands,07/05/2021,13,,
"Arch, The",Irina Kuzmenko,13,,South Africa,Rocklands,07/17/2021,13,,
Mooiste Meisie,Staša Gejo,13,,South Africa,Rocklands,07/19/2021,13,,
More Shining,Karoline Sinnhuber,13,,Austria,Innsbruck,08/02/2021,13,,
Steppenwolf,Molly Thompson-Smith,13,,Switzerland,Magic Wood,10/03/2021,13,,
Blackout,Allison Vest,13,,United States,Joe's Valley,10/27/2021,13,,
Masterpiece,Allison Vest,13,,United States,Joe's Valley,10/30/2021,13,,
Fortunadrago,Camilla Moroni,13,,Italy,Varazze,11/02/2021,13,,
Masterpiece,Natalia Grossman,13,,United States,Joe's Valley,11/06/2021,13,,
Flip Flopera,Molly Thompson-Smith,13,,United Kingdom,bowderstone,11/24/2021,13,,
Vantablack,Alex Johnson,13,,United States,Red Rock,12/07/2021,13,,
Army of the Dead,Allison Vest,13,,United States,Joe's Valley,12/08/2021,13,,
Versace,Alizee Dufraisse (f),13,,Switzerland,Ticino,01/20/2022,13,,
Fragile Steps,Kaddi Lehmann,13,,South Africa,2015,,,,
New base line,Anna Stohr,14,,Switzerland,Magic Wood,01/01/2017,,,
"Penrose Step, The",Anna Stohr,14,,United States,Leavenworth,01/01/2017,,,
Mecanique Elementaire,Melissa Le Neve,14,,France,Fontainebleau,01/01/2017,,,
New base line,Linda Sjodin,14,,Switzerland,Magic Wood,09/07/2019,,https://www.youtube.com/watch?v=_vOWHO1zncc&feature=share,
Catharsis,Tomoko Ogawa (f),14,,Japan,Shiobara,10/20/2012,14,,
New base line,Shauna Coxsey,14,,Switzerland,Magic Wood,07/12/2014,14,,
Golden Shadow,Ashima Shiraishi,14,,South Africa,Rocklands,07/15/2014,14,,
Jade,Alex Puccio,14,,United States,RMNP,08/03/2014,14,,
"Wheel of Chaos, The",Alex Puccio,14,,United States,RMNP,09/20/2014,14,,
Amandla,Isabelle Faus,14,,South Africa,Rocklands,08/21/2015,14,,
Phenomena,Ashima Shiraishi,14,,Japan,Hinokage,12/24/2015,14,,
"Wheel of Chaos, The",Isabelle Faus,14,,United States,RMNP,10/02/2016,14,,
Feuerwalze,Mile Heyden,14,,Germany,Schwäbische Alb,03/24/2017,14,,
New base line,Alex Puccio,14,,Switzerland,Magic Wood,09/05/2017,14,,
Golden Shadow,Oriane Bertone,14,,South Africa,Rocklands,01/23/2018,14,,
"Penrose Step, The",Alex Puccio,14,,United States,Leavenworth,04/04/2018,14,,
New base line,Mile Heyden,14,,Switzerland,Magic Wood,09/16/2018,14,,
Memory is Parallax,Isabelle Faus,14,,United States,RMNP,02/15/2019,14,,
Heritage,Alex Puccio,14,,Switzerland,Valle Bavona,04/22/2019,14,,
Muscle Car,Brooke Raboutou,14,,United States,Coal Creek,05/03/2020,14,,
Super Low Chimichanga Right,Alex Puccio,14,FA,United States,Coal Creek,05/14/2020,14,,
Fata i helvete,Oriane Bertone,14,,France,Fontainebleau,05/23/2020,13,,
"Wheel Direct, The",Alex Puccio,14,,United States,RMNP,07/21/2020,14,,
reverse logic,Alex Puccio,14,,United States,Coal Creek,07/26/2020,14,,
Jade,Brooke Raboutou,14,,United States,RMNP,08/15/2020,14,,
Sinwav,Isabelle Faus,14,FA,United States,Pine Cliff,09/18/2020,14,,
Crème de la Crumb Sit,Isabelle Faus,14,,United States,Boulder/CO,09/19/2020,14,,
Emasculator,Isabelle Faus,14,FA,United States,Camp Dick,10/23/2020,14,,
Super Tanker,Oriane Bertone,14,,France,Fontainebleau,01/15/2021,14,,
Jade,Katie Lamb,14,,United States,RMNP,07/31/2021,14,,
New base line,Katie Lamb,14,,Switzerland,Magic Wood,09/10/2021,14,,
Trieste,Brooke Raboutou,14,,United States,Red Rocks,11/28/2021,14,,
DIRECT NORTH,Katie Lamb,14,,United States,Bishop,01/12/2022,14,,
Sleepy Rave,Ashima Shiraishi,15,,Australia,Grampians,01/01/2016,,,
Kryptos,Kaddi Lehmann,15,,Switzerland,,05/15/2018,,https://www.youtube.com/watch?v=v8Mqrtom6SA,
Byaku-dou,Mishka Ishi,15,,Japan,Mount Hourai,05/03/2019,,,
Horizon,Ashima Shiraishi,15,,Japan,Hiei,03/21/2016,15,,
Satan i helvete bas,Oriane Bertone,15,,France,Fontainebleau,05/27/2020,14,,
