Route,Name,Grade,FA,Country,Area,Date
From Dirt Grows the Flowers,Christof Rauch,15,,Switzerland,Ticino,01/26/2019
From Dirt Grows the Flowers,Dave Graham,15,FA,Switzerland,Ticino,03/07/2005
From Dirt Grows the Flowers,elias iagnemma,15,,Switzerland,Ticino,11/6/2021
From Dirt Grows the Flowers,Eliot Stephens,15,,Switzerland,Ticino,02/20/2020
From Dirt Grows the Flowers,James Webb,15,,Switzerland,Ticino,03/22/2019
From Dirt Grows the Flowers,Jan hojer,15,,Switzerland,Ticino,03/08/2015
From Dirt Grows the Flowers,Kim Marschner,15,,Switzerland,Ticino,01/02/2020
From Dirt Grows the Flowers,Nils Favre,15,,Switzerland,Ticino,01/19/2015
From Dirt Grows the Flowers,Rok Klancnik,15,,Switzerland,Ticino,03/02/2013
From Dirt Grows the Flowers,Vadim Timonov,15,,Switzerland,Ticino,1/10/2020
Frozen Water,Alexander Feichter,15,FA,Italy,Gais,4/6/2018
